Site,grassHa100,grassProp100,grassHa250,grassProp250
Godwin Beach,1.12,0.5,6.71,0.49
South Stradbroke,0,0,0.83,0.6
Amity Point,0,0,1.99,0.15
Boondall,0,0,1.28,0.9
Wynnum,0,0,0,0
Beachmere,0,0,2.93,0.21
